iter	MultiClass
365	1.114390952
366	1.113780306
367	1.113474543
368	1.112954724
369	1.112611143
370	1.111930386
371	1.111488579
372	1.110852051
373	1.109491321
374	1.109124925
375	1.108373355
376	1.107805707
377	1.107620991
378	1.107008235
379	1.106612015
380	1.106279646
381	1.10582668
382	1.10550768
383	1.105103753
384	1.104456139
385	1.104276002
386	1.103967462
387	1.103662546
388	1.103381427
389	1.103054698
390	1.102817936
391	1.102439177
392	1.102094039
393	1.10188522
394	1.101607621
395	1.10102728
396	1.100554639
397	1.100101356
398	1.099547294
399	1.099363152
400	1.099093554
401	1.098743285
402	1.098450695
403	1.098318252
404	1.097664241
405	1.097422066
406	1.097144329
407	1.096496976
408	1.095712526
409	1.095494883
410	1.095329577
411	1.094694133
412	1.094336097
413	1.093876761
414	1.093532727
415	1.093319125
416	1.092886052
417	1.092642099
418	1.092418024
419	1.092110526
420	1.091797695
421	1.091584311
422	1.091224323
423	1.090624637
424	1.090424836
425	1.090166162
426	1.089925051
427	1.089736473
428	1.089526506
429	1.089222624
430	1.088946973
431	1.088696295
432	1.088492347
433	1.088139969
434	1.087784653
435	1.087573562
436	1.086732111
437	1.086360954
438	1.086054439
439	1.08532892
440	1.085196789
441	1.084911442
442	1.084306601
443	1.084065331
444	1.083775196
445	1.083588434
446	1.083344365
447	1.082964222
448	1.082740726
449	1.082558124
450	1.08233622
451	1.081608995
452	1.081342178
453	1.081148196
454	1.080926292
455	1.080640041
456	1.080323126
457	1.079993617
458	1.079844218
459	1.079226758
460	1.078624024
461	1.078247729
462	1.077905021
463	1.077601372
464	1.077339365
465	1.076868673
466	1.0767329
467	1.076466298
468	1.07626148
469	1.075976672
470	1.075690017
471	1.075006976
472	1.074733439
473	1.074522142
474	1.073909095
475	1.073584144
476	1.073362511
477	1.073186173
478	1.072975408
479	1.072840173
480	1.072639183
481	1.072441276
482	1.072183351
483	1.071987139
484	1.071779851
485	1.071554412
486	1.07115371
487	1.070854026
488	1.070454099
489	1.070177584
490	1.069965449
491	1.06978932
492	1.069594968
493	1.069418237
494	1.069202253
495	1.069036815
496	1.068701097
497	1.068054839
498	1.067622511
499	1.067321296
500	1.066925613
501	1.066680209
502	1.066383992
503	1.066186209
504	1.065913121
505	1.065487788
506	1.065326777
507	1.064710155
508	1.064411344
509	1.064024174
510	1.063927145
511	1.063758525
512	1.063553781
513	1.062790168
514	1.062509599
515	1.062381086
516	1.062065642
517	1.061929564
518	1.061735982
519	1.061559601
520	1.061391963
521	1.061228871
522	1.060724215
523	1.059887213
524	1.059775829
525	1.059532491
526	1.059292415
527	1.059047019
528	1.058522793
529	1.058356377
530	1.058214183
531	1.0578593
532	1.057321194
533	1.057093858
534	1.056836982
535	1.056342751
536	1.056188955
537	1.055938889
538	1.05572123
539	1.055369695
540	1.05517366
541	1.054684618
542	1.05433166
543	1.053962014
544	1.05387266
545	1.053640426
546	1.053172692
547	1.052701947
548	1.052256936
549	1.051975555
550	1.051765237
551	1.051578354
552	1.051133897
553	1.050843591
554	1.050575937
555	1.050126363
556	1.049861906
557	1.049681499
558	1.049437322
559	1.049140689
560	1.048762627
561	1.048457667
562	1.048123811
563	1.047763384
564	1.047476173
565	1.047183027
566	1.046643706
567	1.045989231
568	1.045678863
569	1.045448585
570	1.045216896
571	1.044971163
572	1.04457373
573	1.044266094
574	1.043984573
575	1.043842474
576	1.043580999
577	1.043267953
578	1.043042795
579	1.042785538
580	1.042585272
581	1.042208826
582	1.04184883
583	1.041629921
584	1.041330543
585	1.041227732
586	1.041070614
587	1.040919696
588	1.040654882
589	1.040522653
590	1.03999293
591	1.039565989
592	1.03914899
593	1.038843545
594	1.038509377
595	1.03835526
596	1.038154424
597	1.037437943
598	1.037144718
599	1.036976419
600	1.036695891
601	1.036510218
602	1.036131696
603	1.035979824
604	1.035708382
605	1.035504299
606	1.034857425
607	1.034581067
608	1.034479214
609	1.034335503
610	1.033822304
611	1.033468456
612	1.033280287
613	1.032999452
614	1.032511859
615	1.032264942
616	1.031980429
617	1.031567917
618	1.031419617
619	1.031226736
620	1.030926608
621	1.030660306
622	1.030417004
623	1.030147681
624	1.029972738
625	1.02954735
626	1.029341463
627	1.029226005
628	1.029068998
629	1.028550175
630	1.028445379
631	1.028249078
632	1.027823358
633	1.027411333
634	1.027082131
635	1.026963876
636	1.026787506
637	1.026704489
638	1.026482141
639	1.02624731
640	1.025910781
641	1.025570667
642	1.025378029
643	1.025051857
644	1.024481448
645	1.024311464
646	1.024139094
647	1.023842047
648	1.023411662
649	1.023013396
650	1.022436452
651	1.022268855
652	1.021711714
653	1.021544227
654	1.021358616
655	1.020995963
656	1.020879977
657	1.020728853
658	1.02042939
659	1.020075953
660	1.019862739
661	1.019622957
662	1.019182632
663	1.018764561
664	1.018598268
665	1.018440397
666	1.018244303
667	1.018101104
668	1.017959428
669	1.017742358
670	1.01738818
671	1.017141314
672	1.016970945
673	1.01677834
674	1.016485843
675	1.016374862
676	1.016174835
677	1.015993058
678	1.015395151
679	1.0151829
680	1.014992188
681	1.01485504
682	1.014543173
683	1.014459334
684	1.014201831
685	1.014012529
686	1.01372262
687	1.013601959
688	1.013421813
689	1.013299739
690	1.012935592
691	1.012782901
692	1.012573513
693	1.01236921
694	1.011924215
695	1.011820953
696	1.011583708
697	1.011434306
698	1.011325674
699	1.010967532
700	1.010740456
701	1.01046081
702	1.010309157
703	1.01003264
704	1.009876411
705	1.009672265
706	1.009502772
707	1.009211338
708	1.008947864
709	1.008749871
710	1.008461994
711	1.008183593
712	1.008072357
713	1.007935858
714	1.007781499
715	1.007186936
716	1.007010725
717	1.006883948
718	1.006549164
719	1.006388251
720	1.005921049
721	1.005662956
722	1.005542896
723	1.005376454
724	1.005211654
725	1.00501421
726	1.004870121
727	1.004690858
728	1.004195686
729	1.004082704
730	1.003965449
731	1.003680876
732	1.003346491
733	1.003248303
734	1.002639126
735	1.002457498
736	1.002269272
737	1.002100388
738	1.001972236
739	1.00179376
740	1.001490077
741	1.001304721
742	1.001134878
743	1.001019998
744	1.000881202
745	1.000653437
746	1.000476895
747	0.9999716831
748	0.9997387347
749	0.9994529548
750	0.9992407348
751	0.9989032018
752	0.9987479304
753	0.9986171491
754	0.9983411087
755	0.9982686953
756	0.998167464
757	0.9979520467
758	0.9978726814
759	0.9977354202
760	0.9976141532
761	0.9971968917
762	0.9968521497
763	0.9967181251
764	0.9966142273
765	0.9963476889
766	0.9961920367
767	0.995974661
768	0.995639749
769	0.9953252869
770	0.9951675525
771	0.9950519996
772	0.9949414777
773	0.9945453282
774	0.9943739645
775	0.9942327481
776	0.9940648279
777	0.9937995407
778	0.9934672457
779	0.9932739422
780	0.9929755473
781	0.992834312
782	0.9927165175
783	0.9925285295
784	0.9922963629
785	0.9921848894
786	0.9920363915
787	0.9919579772
788	0.991830159
789	0.9915744325
790	0.9912779124
791	0.9908011374
792	0.9905413957
793	0.9903560796
794	0.9900821969
795	0.9898175742
796	0.9896630121
797	0.9895274352
798	0.9889882431
799	0.9888590951
800	0.9886152733
801	0.9884955359
802	0.9882398668
803	0.9881226974
804	0.987859999
805	0.9877421139
806	0.9875264445
807	0.9874039272
808	0.9872428617
809	0.9871662329
810	0.9869771312
811	0.986809522
812	0.9865989861
813	0.9864013244
814	0.9859935655
815	0.9856609987
816	0.9855249089
817	0.9854217048
818	0.9852619083
819	0.9850947934
820	0.9849626126
821	0.984831185
822	0.9846441343
823	0.9844414916
824	0.9841629204
825	0.9838153713
826	0.9837074999
827	0.983223675
828	0.9830639111
829	0.9829162552
830	0.9828120654
831	0.982718671
832	0.9824844881
833	0.9823617024
834	0.9821618747
835	0.9820097611
836	0.9818730173
837	0.9817469795
838	0.9815577917
839	0.9814627735
840	0.9812735641
841	0.9811571799
842	0.9808988835
843	0.9805543741
844	0.9803606007
845	0.9800891539
846	0.9799795129
847	0.9797284891
848	0.97946242
849	0.9790685447
850	0.9788471958
851	0.9786755988
852	0.9784544451
853	0.9783565964
854	0.9781349506
855	0.9777248124
856	0.9775326101
857	0.9773743832
858	0.9772695425
859	0.9768434728
860	0.9767709205
861	0.9764247217
862	0.9761129509
863	0.9760060175
864	0.9757852835
865	0.9756092404
866	0.9755221925
867	0.9754097044
868	0.9752609174
869	0.9751534318
870	0.9750666522
871	0.9747755913
872	0.9746938912
873	0.9743466261
874	0.9741673232
875	0.9739240027
876	0.97370627
877	0.9731053527
878	0.9728837441
879	0.9727540754
880	0.9726140411
881	0.9724296886
882	0.9723016319
883	0.9721689945
884	0.9720459725
885	0.9718721203
886	0.971694026
887	0.9716027351
888	0.971462773
889	0.9713116931
890	0.9712282954
891	0.9708678483
892	0.9706648994
893	0.9705263887
894	0.9703909817
895	0.9702514677
896	0.970126593
897	0.9700368301
898	0.9699293582
899	0.9696634549
900	0.9695636521
901	0.969324876
902	0.9692264164
903	0.9689367831
904	0.9687789512
905	0.9683219569
906	0.9681736893
907	0.9680754917
908	0.967919636
909	0.967774765
910	0.9675199699
911	0.9673478711
912	0.9672078761
913	0.9671042429
914	0.9665298994
915	0.9661668663
916	0.9656740984
917	0.9655647246
918	0.9654745581
919	0.9654149069
920	0.9652860542
921	0.9651663249
922	0.9649653419
923	0.9648180123
924	0.9646812322
925	0.9645223751
926	0.9644002325
927	0.9642616843
928	0.9641188649
929	0.9638685182
930	0.9637211302
931	0.9634648159
932	0.9633326834
933	0.9632230128
934	0.9630933398
935	0.9630050706
936	0.9628796502
937	0.9626269
938	0.9624946333
939	0.9623447188
940	0.9621567092
941	0.9619880191
942	0.9618683726
943	0.961691519
944	0.9614630543
945	0.9612641671
946	0.9611081726
947	0.9610094774
948	0.960934017
949	0.9608241831
950	0.9606317679
951	0.9605665182
952	0.9602101571
953	0.9596859619
954	0.9594804322
955	0.9592642168
956	0.9591274425
957	0.9589838911
958	0.9588461514
959	0.9587063907
960	0.9586008864
961	0.9585419612
962	0.9584036783
963	0.9581780028
964	0.9579855883
965	0.9578328099
966	0.9576344364
967	0.9575019662
968	0.9573165911
969	0.9571328716
970	0.9569753376
971	0.9567773925
972	0.9566359138
973	0.9560404907
974	0.9559419908
975	0.9556641457
976	0.9555478172
977	0.955366986
978	0.9552586871
979	0.9551382825
980	0.9548593373
981	0.9546908881
982	0.954558371
983	0.9544451856
984	0.9543511029
985	0.9541660911
986	0.9540523596
987	0.9536794761
988	0.9534537427
989	0.953346293
990	0.9532212603
991	0.9530708323
992	0.9530153403
993	0.9528467552
994	0.952578488
995	0.9524305033
996	0.9522111598
997	0.9521116668
998	0.9518894323
999	0.9517469121
